Extraction Date:,5/30/2018,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
School Year,State,Exit Code,Disability,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 14 to 21 total,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more races,Male,Female,Limited English proficiency,Non-limited English proficiency
2016-2017,Arkansas,Died,Multiple disabilities,3,0,0,0,1,1,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Dropped out,Multiple disabilities,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with a regular high school diploma and received a certificate,Multiple disabilities,0,0,0,22,43,16,8,3,92,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with regular high school diploma,Multiple disabilities,0,0,0,21,42,13,8,3,87,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,"Moved, known to be continuing",Multiple disabilities,10,12,17,2,5,2,4,0,52,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Reached maximum age,Multiple disabilities,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Received a certificate,Multiple disabilities,0,0,0,1,1,3,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting school,Multiple disabilities,3,0,0,23,44,17,9,4,100,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting special education,Multiple disabilities,13,13,17,25,49,19,13,4,153,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Transferred to regular education,Multiple disabilities,0,1,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Died,Orthopedic impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Dropped out,Orthopedic impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with a regular high school diploma and received a certificate,Orthopedic impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with regular high school diploma,Orthopedic impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,"Moved, known to be continuing",Orthopedic impairment,3,1,0,0,1,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Reached maximum age,Orthopedic impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Received a certificate,Orthopedic impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting school,Orthopedic impairment,0,0,0,6,5,0,1,0,12,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting special education,Orthopedic impairment,3,1,1,6,6,0,1,0,18,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Transferred to regular education,Orthopedic impairment,0,0,1,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Died,Other health impairment,2,0,1,1,0,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Dropped out,Other health impairment,3,15,14,41,35,1,1,0,110,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with a regular high school diploma and received a certificate,Other health impairment,0,0,2,294,381,60,2,0,739,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with regular high school diploma,Other health impairment,0,0,2,290,374,58,2,0,726,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,"Moved, known to be continuing",Other health impairment,209,218,201,201,85,9,3,0,926,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Reached maximum age,Other health impairment,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Received a certificate,Other health impairment,0,0,0,4,7,2,0,0,13,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting school,Other health impairment,5,15,17,336,416,61,3,1,854,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting special education,Other health impairment,225,250,235,550,506,72,6,1,1845,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Transferred to regular education,Other health impairment,11,17,17,13,5,2,0,0,65,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Died,Specific learning disability,1,0,2,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Dropped out,Specific learning disability,2,9,16,59,70,17,2,0,175,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with a regular high school diploma and received a certificate,Specific learning disability,0,0,3,533,880,151,12,1,1580,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with regular high school diploma,Specific learning disability,0,0,3,530,873,148,12,1,1567,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,"Moved, known to be continuing",Specific learning disability,299,319,315,289,171,24,4,0,1421,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Reached maximum age,Specific learning disability,-,-,-,-,-,-,2,2,4,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Received a certificate,Specific learning disability,0,0,0,3,7,3,0,0,13,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting school,Specific learning disability,3,9,21,592,950,168,16,3,1762,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting special education,Specific learning disability,343,368,376,913,1137,193,21,3,3354,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Transferred to regular education,Specific learning disability,41,40,40,32,16,1,1,0,171,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Died,Speech or language impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Dropped out,Speech or language impairment,0,1,1,2,1,1,0,0,6,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with a regular high school diploma and received a certificate,Speech or language impairment,0,0,1,34,43,5,0,0,83,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with regular high school diploma,Speech or language impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,"Moved, known to be continuing",Speech or language impairment,29,15,22,11,8,0,0,0,85,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Reached maximum age,Speech or language impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Received a certificate,Speech or language impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting school,Speech or language impairment,0,1,2,36,44,6,0,0,89,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting special education,Speech or language impairment,62,37,35,51,56,8,0,0,249,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Transferred to regular education,Speech or language impairment,33,21,11,4,4,2,0,0,75,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Died,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Dropped out,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with a regular high school diploma and received a certificate,Traumatic brain injury,0,0,0,9,5,1,0,0,15,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with regular high school diploma,Traumatic brain injury,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,"Moved, known to be continuing",Traumatic brain injury,2,3,1,2,0,0,0,0,8,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Reached maximum age,Traumatic brain injury,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Received a certificate,Traumatic brain injury,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting school,Traumatic brain injury,0,0,0,9,5,1,0,0,15,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting special education,Traumatic brain injury,2,3,1,11,5,1,0,0,23,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Transferred to regular education,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Died,Visual impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Dropped out,Visual impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with a regular high school diploma and received a certificate,Visual impairment,0,0,0,4,13,3,1,0,21,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Graduated with regular high school diploma,Visual impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,"Moved, known to be continuing",Visual impairment,4,1,1,2,0,0,0,0,8,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Reached maximum age,Visual impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Received a certificate,Visual impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting school,Visual impairment,0,0,0,4,13,3,1,0,21,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Total exiting special education,Visual impairment,4,1,2,6,13,3,1,0,30,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Arkansas,Transferred to regular education,Visual impairment,0,0,1,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Died,All Disabilities,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
2016-2017,Bureau of Indian Education,Dropped out,All Disabilities,16,8,18,20,29,9,4,0,104,0,104,0,0,0,0,0,83,21,16,88
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,All Disabilities,0,0,2,104,148,38,9,3,304,0,304,0,0,0,0,0,197,107,59,245
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,All Disabilities,0,0,2,104,145,34,6,2,293,0,293,0,0,0,0,0,188,105,58,235
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",All Disabilities,40,62,51,43,20,0,0,0,216,0,216,0,0,0,0,0,132,84,26,190
2016-2017,Bureau of Indian Education,Reached maximum age,All Disabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017,Bureau of Indian Education,Received a certificate,All Disabilities,0,0,0,0,3,4,3,1,11,0,11,0,0,0,0,0,9,2,1,10
2016-2017,Bureau of Indian Education,Total exiting school,All Disabilities,16,8,21,124,177,47,13,3,409,0,409,0,0,0,0,0,281,128,75,334
2016-2017,Bureau of Indian Education,Total exiting special education,All Disabilities,57,72,72,168,199,47,13,3,631,0,631,0,0,0,0,0,417,214,101,530
2016-2017,Bureau of Indian Education,Transferred to regular education,All Disabilities,1,2,0,1,2,0,0,0,6,0,6,0,0,0,0,0,4,2,0,6
2016-2017,Bureau of Indian Education,Died,Autism,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Dropped out,Autism,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,Autism,0,0,0,5,6,3,1,1,16,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,Autism,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",Autism,0,1,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Reached maximum age,Autism,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Received a certificate,Autism,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting school,Autism,0,0,0,6,6,3,1,1,17,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting special education,Autism,0,1,0,6,6,3,1,1,18,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Transferred to regular education,Autism,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Died,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Dropped out,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Reached maximum age,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Received a certificate,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting school,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting special education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Transferred to regular education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Died,Emotional disturbance,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Dropped out,Emotional disturbance,3,2,4,1,4,1,0,0,15,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,Emotional disturbance,0,0,0,7,3,1,0,0,11,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,Emotional disturbance,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",Emotional disturbance,5,5,7,4,1,0,0,0,22,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Reached maximum age,Emotional disturbance,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Received a certificate,Emotional disturbance,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting school,Emotional disturbance,3,2,4,8,7,2,0,0,26,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting special education,Emotional disturbance,8,7,11,12,8,2,0,0,48,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Transferred to regular education,Emotional disturbance,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Died,Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Dropped out,Hearing impairment,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,Hearing impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,Hearing impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",Hearing impairment,0,0,1,1,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Reached maximum age,Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Received a certificate,Hearing impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting school,Hearing impairment,0,0,0,1,1,1,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting special education,Hearing impairment,0,0,1,2,1,1,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Transferred to regular education,Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Died,Intellectual disability,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Dropped out,Intellectual disability,1,0,1,1,2,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,Intellectual disability,0,0,0,3,16,1,3,0,23,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,Intellectual disability,0,0,0,3,16,0,1,0,20,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",Intellectual disability,3,0,2,2,3,0,0,0,10,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Reached maximum age,Intellectual disability,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Received a certificate,Intellectual disability,0,0,0,0,0,1,2,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting school,Intellectual disability,1,0,1,4,18,1,3,0,28,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting special education,Intellectual disability,4,0,3,6,21,1,3,0,38,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Transferred to regular education,Intellectual disability,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Died,Multiple disabilities,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Dropped out,Multiple disabilities,0,0,1,1,0,0,1,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,Multiple disabilities,0,0,0,1,1,1,1,2,6,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,Multiple disabilities,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",Multiple disabilities,0,0,0,1,1,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Reached maximum age,Multiple disabilities,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Received a certificate,Multiple disabilities,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting school,Multiple disabilities,0,0,1,2,1,1,2,2,9,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting special education,Multiple disabilities,0,0,1,3,2,1,2,2,11,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Transferred to regular education,Multiple disabilities,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Died,Orthopedic impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Dropped out,Orthopedic impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,Orthopedic impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,Orthopedic impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",Orthopedic impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Reached maximum age,Orthopedic impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Received a certificate,Orthopedic impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting school,Orthopedic impairment,0,0,0,1,1,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting special education,Orthopedic impairment,0,0,0,1,1,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Transferred to regular education,Orthopedic impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Died,Other health impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Dropped out,Other health impairment,1,2,2,5,2,0,0,0,12,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,Other health impairment,0,0,1,9,10,4,1,0,25,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,Other health impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",Other health impairment,4,7,4,4,2,0,0,0,21,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Reached maximum age,Other health impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Received a certificate,Other health impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting school,Other health impairment,1,2,3,14,12,4,1,0,37,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting special education,Other health impairment,6,9,7,19,15,4,1,0,61,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Transferred to regular education,Other health impairment,1,0,0,1,1,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Died,Specific learning disability,0,0,1,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Dropped out,Specific learning disability,10,4,10,11,19,8,3,0,65,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,Specific learning disability,0,0,1,71,110,27,3,0,212,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,Specific learning disability,0,0,1,71,109,25,3,0,209,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",Specific learning disability,24,44,37,31,13,0,0,0,149,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Reached maximum age,Specific learning disability,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Received a certificate,Specific learning disability,0,0,0,0,1,2,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting school,Specific learning disability,10,4,12,82,129,35,6,0,278,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting special education,Specific learning disability,34,50,49,113,143,35,6,0,430,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Transferred to regular education,Specific learning disability,0,2,0,0,1,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Died,Speech or language impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Dropped out,Speech or language impairment,1,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,Speech or language impairment,0,0,0,6,0,0,0,0,6,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,Speech or language impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",Speech or language impairment,4,5,0,0,0,0,0,0,9,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Reached maximum age,Speech or language impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Received a certificate,Speech or language impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting school,Speech or language impairment,1,0,0,6,0,0,0,0,7,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting special education,Speech or language impairment,5,5,0,6,0,0,0,0,16,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Transferred to regular education,Speech or language impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Died,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Dropped out,Traumatic brain injury,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with a regular high school diploma and received a certificate,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Graduated with regular high school diploma,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,"Moved, known to be continuing",Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Reached maximum age,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Received a certificate,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Bureau of Indian Education,Total exiting school,Traumatic brain injury,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
